"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",NA,NA,NA,NA,3,-3,-3,3,3,-3,-3,3,NA,NA,NA,NA
"2",2,-1,-1,0,0,-2.9,0,1.405,1,-1,-2,2,0,-1.5,0,-2.1
"3",1,-1,-1,1,0.36,NA,NA,0.49,0,-2,-2,0,-0.5,NA,NA,1.9
"4",-1,0,-1,1,-0.085,0.62,-0.8,0,1,-2,0,-1,0,-1.3,0,1.5
"5",0,0,0,0,0,0,1.63,-1.16,-1,-1,1,-2,0.8,0.7,0,0
"6",NA,0,1,NA,NA,-2.145,-1.505,NA,NA,0,0,NA,NA,2.8,3,NA
"7",0,-1,0,1,1.435,-0.905,-1.385,1.365,1,-2,-2,3,-0.3,3,2.8,0
"8",3,NA,NA,3,NA,NA,NA,1.215,1,NA,NA,1,NA,NA,NA,NA
"9",-1,0,1,-1,1.715,-1.6,-1.635,1.02,1,-1,-1,1,NA,2.5,2.6,NA
"10",3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0
"11",2,-2,-2,2,0,-1.85,-2.645,0,1,-2,-2,1,1.7,0,2,0
"12",NA,NA,0,1,0,-1.4,0,-0.065,0,-1,NA,NA,NA,NA,NA,3
"13",NA,NA,NA,NA,NA,-2.445,3,0,NA,NA,NA,NA,NA,NA,NA,NA
"14",-3,-3,-3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"16",3,0,-3,3,3,0,-3,3,3,0,-3,3,3,0,-3,3
"17",2,1,-1,-1,-1.04,0.815,-0.515,1.505,1,0,1,0,-0.8,-0.4,0.4,0
"18",NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,-1.6,-3,NA
"19",0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0
"20",3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0
"21",3,-3,-3,3,3,-3,-3,3,3,-3,-3,3,3,-3,-3,3
"22",1,-1,0,3,-1.37,0,3,-3,0,0,3,0,0,0,-3,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,3,-1.8,-1.1,3
"24",1,-1,-2,2,1.22,-1.525,-1.5,1.305,2,-2,-1,2,NA,NA,NA,NA
"25",0,-2,-1,2,3,0,0,1.06,0,0,0,0,0,0,0,0
"26",NA,NA,-1,NA,2.525,-1.145,-0.79,2.02,1,0,NA,NA,-0.5,1.3,-0.5,0.4
"27",3,-3,-2,3,3,-0.445,0,3,2,-3,0,3,0.6,0.4,0,0.9
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,3
